"","...1","...2","id_record","id_study","id_control","id_effect","authors","title","publication_year","container","record_type","doi","language_record","language_materials","country","population","modality","incentives","incentive_notes","preregistered","open_data","open_data_claimed","open_materials","n_total","n_control","n_mi","within_between","accuracy_control_prop","accuracy_mi_prop","accuracy_control_mean","accuracy_mi_mean","accuracy_control_sd","accuracy_mi_sd","accuracy_type","accuracy_reverse","test_statistic","statistic_type","control_type","notes_comparison","notes_source","age_mean","age_median","age_sd","age_min","age_max","gender_female_prop","neuro_condition","preevent_valence","preevent_warning","preevent_alcohol","event_medium","event_materials","event_valence","postevent_recall","postevent_warning","postevent_retention_interval","exposure_medium","exposure_method","exposure_credibility","exposure_valence","postexposure_recall","postexposure_retention_interval","postexposure_warning","postexposure_correction","test_type","test_medium","item_centrality","items_control","items_misled","items_total","notes_moderators","notes_general","total_accuracy_control_mean","total_accuracy_mi_mean","total_accuracy_control_sd","total_accuracy_mi_sd","total_accuracy_control_prop","total_accuracy_mi_prop","id","yi","vi","cooks_dist"
"210",210,1209,"243","243_05","243_05_02","1209","McClosky",NA,"1985",NA,"article","10.1037//0096-3445.114.1.1","en","en","us","students","lab",NA,NA,0,0,0,0,120,72,72,"within",NA,NA,0.68,0.7,NA,NA,"proportion",0,"1.6","t(71)","neutral","comparing misled and neutral(control) items in the modified test","table 5 and 6 on page 7. T-statistics are taken from the same page and reflect the lowest t-value.",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",0,0,0,0,"modified_test","text",NA,2,2,36,NA,"The classic McClosky and Zaragoza study. There are 5 experiments all usign the standard and the modified test. The t-test statistic is the lowest reported on the within subjects tests.",0.68,0.7,0.237836465239525,0.229722157120705,NA,NA,1241,-0.0850851746477726,0.0278029148852251,1.75864946335767e-05
"211",211,1210,"243","243_06","243_06_01","1210","McClosky",NA,"1985",NA,"article","10.1037//0096-3445.114.1.1","en","en","us","students","lab",NA,NA,0,0,0,0,120,36,36,"within",NA,NA,0.75,0.36,NA,NA,"proportion",0,"4","t(35)","neutral","comparing misled and neutral(control) items in the standard test","table 5 and 6 on page 7. T-statistics are taken from the same page and reflect the lowest t-value.",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",0,0,0,0,"recognition","text",NA,2,2,36,NA,"The classic McClosky and Zaragoza study. There are 5 experiments all usign the standard and the modified test. The t-test statistic is the lowest reported on the within subjects tests.",0.75,0.36,0.184502005577087,0.240283668041229,NA,NA,1242,1.80100193263492,0.0780806108427411,1.59832495116689e-05
"212",212,1211,"243","243_06","243_06_02","1211","McClosky",NA,"1985",NA,"article","10.1037//0096-3445.114.1.1","en","en","us","students","lab",NA,NA,0,0,0,0,120,84,84,"within",NA,NA,0.77,0.71,NA,NA,"proportion",0,"1.6","t(83)","neutral","comparing misled and neutral(control) items in the modified test","table 5 and 6 on page 7. T-statistics are taken from the same page and reflect the lowest t-value.",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",0,0,0,0,"modified_test","text",NA,2,2,36,NA,"The classic McClosky and Zaragoza study. There are 5 experiments all usign the standard and the modified test. The t-test statistic is the lowest reported on the within subjects tests.",0.77,0.71,0.192133992910385,0.200234428048134,NA,NA,1243,0.304385932929487,0.0240852702266826,1.59353839235405e-05
"213",213,1312,"258","258_01","258_01_01","1312","houston",NA,"1999",NA,"dissertation",NA,"en","en","us","students","lab","course_credit",NA,0,0,0,0,306,43,57,"between",NA,NA,0.5891,0.5417,NA,NA,"proportion",0,"omit","omit","no_misinformation","mini clip recognition test, misleading vs. not misleading, thinking condition. No misinformation control.","table 3, p51",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"audiovisual","the_stunt_man_movie","no_manipulation",0,0,48,"text","initial_test","no_manipulation","no_manipulation",2,0,0,0,"recognition","audiovisual",NA,3,3,16,"Demographics were apparently recorded but not reported.","No variance information available and insufficient inferential statistics to infer variance.",0.589,0.542,0.22603814303875,0.269311010837555,NA,NA,1344,0.185312960838661,0.0409713780698851,7.68047505667673e-05
"214",214,1313,"258","258_01","258_01_02","1313","houston",NA,"1999",NA,"dissertation",NA,"en","en","us","students","lab","course_credit",NA,0,0,0,0,306,47,53,"between",NA,NA,0.6159,0.5157,NA,NA,"proportion",0,"omit","omit","no_misinformation","mini clip recognition test, misleading vs. not misleading, suppression condition. No misinformation control.","table 3, p51",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"audiovisual","the_stunt_man_movie","no_manipulation",0,0,48,"text","initial_test","no_manipulation","no_manipulation",2,0,0,0,"recognition","audiovisual",NA,3,3,16,"Demographics were apparently recorded but not reported.","No variance information available and insufficient inferential statistics to infer variance.",0.616,0.516,0.253299087285995,0.243960022926331,NA,NA,1345,0.399506617426812,0.0409425479598218,1.35013194458727e-06
"215",215,1314,"258","258_01","258_01_03","1314","houston",NA,"1999",NA,"dissertation",NA,"en","en","us","students","lab","course_credit",NA,0,0,0,0,306,44,57,"between",NA,NA,0.5635,0.4909,NA,NA,"proportion",0,"omit","omit","no_misinformation","mini clip recognition test, misleading vs. not misleading, no instruction condition. No misinformation control.","table 3, p51",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"audiovisual","the_stunt_man_movie","no_manipulation",0,0,48,"text","initial_test","no_manipulation","no_manipulation",2,0,0,0,"recognition","audiovisual",NA,3,3,16,"Demographics were apparently recorded but not reported.","No variance information available and insufficient inferential statistics to infer variance.",0.564,0.491,0.253299087285995,0.273383915424347,NA,NA,1346,0.273536161192211,0.04064153847283,2.26906391159932e-05
"216",216,9,"002","002_01","002_01_01","0009","blank et al",NA,"2013",NA,"article","10.1016/j.actpsy.2013.10.006","en","en","gb","students","lab","course_credit_or_money","course credit or 5 GBP",0,0,0,0,120,60,60,"within",NA,NA,0.27,0.21,0.24,0.19,"proportion",0,"omit","omit","consistent","students","Table 2, p.639",NA,19,NA,18,42,NA,NA,"no_manipulation",0,0,"visual","CCTV_robbery_jewellery_store_youtube_anonymous_2011",NA,0,0,0,"live","cowitness",NA,"no_manipulation",0,0,0,0,"free_recall","text",NA,3,3,NA,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.","A 2 (influence type: direct vs. indirect) × 2 (post-warning: yes vs. no) experimental design. With exposure to misleading details (vs. no exposure) and time of assessment (immediately vs. one week later) were within-participants factors. We did not assess the repeated test)",0.27,0.21,0.24,0.19,NA,NA,9,0.275435815377396,0.0336494370349692,1.64139003503541e-06
"217",217,10,"002","002_01","002_01_02","0010","blank et al",NA,"2013",NA,"article","10.1016/j.actpsy.2013.10.006","en","en","gb","students","lab","course_credit_or_money","course credit or 5 GBP",0,0,0,0,120,60,60,"within",NA,NA,0.19,0.17,0.2,0.22,"proportion",0,"omit","omit","consistent","students","Table 2, p.639",NA,19,NA,18,42,NA,NA,"no_manipulation",0,0,"visual","CCTV_robbery_jewellery_store_youtube_anonymous_2011",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"free_recall","text",NA,3,3,NA,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.","A 2 (influence type: direct vs. indirect) × 2 (post-warning: yes vs. no) experimental design. With exposure to misleading details (vs. no exposure) and time of assessment (immediately vs. one week later) were within-participants factors. We did not assess the repeated test)",0.19,0.17,0.2,0.22,NA,NA,10,0.0945241585203297,0.0333705617355999,7.00717296021414e-05
"218",218,11,"002","002_01","002_01_01","0011","blank et al",NA,"2013",NA,"article","10.1016/j.actpsy.2013.10.006","en","en","gb","students","lab","course_credit_or_money","course credit or 5 GBP",0,0,0,0,120,60,60,"within",NA,NA,0.5,0.41,0.26,0.3,"proportion",0,"omit","omit","consistent","students","Table 2, p.639",NA,19,NA,18,42,NA,NA,"no_manipulation",0,0,"visual","CCTV_robbery_jewellery_store_youtube_anonymous_2011",NA,0,0,0,"live","cowitness",NA,"no_manipulation",1,0,0,0,"recognition","text",NA,3,3,18,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.","A 2 (influence type: direct vs. indirect) × 2 (post-warning: yes vs. no) experimental design. With exposure to misleading details (vs. no exposure) and time of assessment (immediately vs. one week later) were within-participants factors. We did not assess the repeated test)",0.5,0.41,0.26,0.3,NA,NA,11,0.318568887984931,0.0337561922349665,4.25737480170499e-07
"219",219,12,"002","002_01","002_01_02","0012","blank et al",NA,"2013",NA,"article","10.1016/j.actpsy.2013.10.006","en","en","gb","students","lab","course_credit_or_money","course credit or 5 GBP",0,0,0,0,120,60,60,"within",NA,NA,0.5,0.38,0.28,0.26,"proportion",0,"omit","omit","consistent","students","Table 2, p.639",NA,19,NA,18,42,NA,NA,"no_manipulation",0,0,"visual","CCTV_robbery_jewellery_store_youtube_anonymous_2011",NA,0,0,0,"text","narrative",NA,"no_manipulation",1,0,0,0,"recognition","text",NA,3,3,18,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.","A 2 (influence type: direct vs. indirect) × 2 (post-warning: yes vs. no) experimental design. With exposure to misleading details (vs. no exposure) and time of assessment (immediately vs. one week later) were within-participants factors. We did not assess the repeated test)",0.5,0.38,0.28,0.26,NA,NA,12,0.441310006355227,0.0341448105071219,5.37824540046726e-05
"220",220,13,"003","003_01","003_01_01","0013","bowles","The Effect of Different Types of Leading Questions on Adult Eyewitnesses with Mild Intellectual Disabilities","2014",NA,"article","10.1002/acp.2953","en","en","au","community",NA,NA,NA,0,0,0,0,41,41,41,"within",NA,NA,0.61,0.421,0.274,0.287,"proportion",0,"omit","omit","neutral","within subjects comparison ID adults","p.131","32.37",NA,7.75,22,48,0.39,"intellectual_disability","no_manipulation",0,0,"visual","eric_the_electrician",NA,0,0,0,"live","misinformation_interview",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,4,4,20,"Participants were adults with mild intelectual disibility, typically meaning having an IQ between 50 and 75","This is a 2(control, misled)X4(question type) design comparing ID adults getting PEI through an interview. Only the main effect of misinformation is extracted here.",0.61,0.421,0.274,0.287,NA,NA,13,0.667277689787633,0.051495484849319,0.000120650309353336
"221",221,14,"004","004_02","004_02_01","0014","connolly & lindsey",NA,"2001",NA,"article","10.1002/1099-0720%28200103/04%2915:2%3C205::AID-ACP698%3E3.0.CO;2-F","en","en","ca","community","field",NA,NA,0,0,0,0,16,16,16,"within",NA,NA,0.06,0.09,0.17,0.2,"proportion",1,"omit","omit","neutral","within subjects comparison on 8-year-olds on incorrect yes responces on variable details","p 218","8.30",NA,0.75,NA,NA,NA,NA,"no_manipulation",0,0,"live","play_sessions_connolly_lindsey_2011",NA,0,0,96,"live","interview",NA,"no_manipulation",0,24,0,0,"recognition","live",NA,12,12,24,"participants were 8 year-old children, with two different event materials","this experiment looks at two misinformation events and measures recognition on those events biased by an interview. Multiple effects wer not available due to lacking reporting. The specific effects we report are indicated in the comparison notes.",0.94,0.91,0.17,0.2,NA,NA,14,0.157551243817824,0.125387849912946,0.00143851153260691
"222",222,15,"004","004_02","004_02_01","0015","connolly & lindsey",NA,"2001",NA,"article","10.1002/1099-0720%28200103/04%2915:2%3C205::AID-ACP698%3E3.0.CO;2-F","en","en","ca","community","field",NA,NA,0,0,0,0,16,16,16,"within",NA,NA,0.16,0.47,0.24,0.39,"proportion",1,"omit","omit","neutral","within subjects comparison on 8-year-olds on incorrect yes responces on variable details","p 218","8.30",NA,0.75,NA,NA,NA,NA,"no_manipulation",0,0,"live","play_sessions_connolly_lindsey_2011",NA,0,0,96,"live","interview",NA,"no_manipulation",0,24,0,0,"recognition","live",NA,12,12,24,"participants were 8 year-old children, with two different event materials","this experiment looks at two misinformation events and measures recognition on those events biased by an interview. Multiple effects wer not available due to lacking reporting. The specific effects we report are indicated in the comparison notes.",0.84,0.53,0.24,0.39,NA,NA,15,0.933195575380345,0.138607093467335,0.000802761204121262
"223",223,16,"004","004_02","004_02_01","0016","connolly & lindsey",NA,"2001",NA,"article","10.1002/1099-0720%28200103/04%2915:2%3C205::AID-ACP698%3E3.0.CO;2-F","en","en","ca","community","field",NA,NA,0,0,0,0,16,16,16,"within",NA,NA,0.16,0.59,0.24,0.38,"proportion",1,"omit","omit","neutral","within subjects comparison on 8-year-olds incorrect 'yes' responses on Lauren story","p.218","8.30",NA,0.75,NA,NA,NA,NA,"no_manipulation",0,0,"live","lauren_story_connolly_lindsey_2001",NA,0,0,96,"live","interview",NA,"no_manipulation",0,24,0,0,"recognition","live",NA,12,2,4,"participants were 8 year-old children","this experiment looks at two misinformation events and measures recognition on those events biased by an interview. Multiple effects wer not available due to lacking reporting. The specific effects we report are indicated in the comparison notes.",0.84,0.41,0.24,0.38,NA,NA,16,1.31887295679289,0.152178529314994,0.000281430262066208
"224",224,17,"005","005_01","005_01_01","0017","frost",NA,"2000",NA,"article","10.3758/BF03214367","en","en","us","students","lab","course_credit",NA,0,0,0,0,48,48,48,"within",NA,NA,0.26,0.14,0.207,0.207,"proportion",0,"omit","omit","no misinformation",NA,"p.533, table 1. p.534. Standar deviations are pooled and were calculated from the SEM reported with the t-statistics.",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"cued_recall","text",NA,2,2,4,"no moderators","participants are presented with slides, misinformation through narrative, and then cued recall in text",0.26,0.14,0.207,0.207,NA,NA,17,0.575070397473161,0.0433890935523434,9.17130009336818e-06
"225",225,18,"005","005_02","005_02_01","0018","frost",NA,"2000",NA,"article","10.3758/BF03214367","en","en","us","students","lab","course_credit",NA,0,0,0,0,48,48,48,"within",NA,NA,0.35,0.16,0.275,0.275,"proportion",0,"omit","omit","no misinformation",NA,"p.533, table 1. p.534. Standar deviations are pooled and were calculated from the SEM reported with the t-statistics.",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"cued_recall","text",NA,4,4,6,"no moderators","participants are presented with slides, misinformation through narrative, and then cued recall in text",0.35,0.16,0.275,0.275,NA,NA,18,0.685379355533922,0.0441132544843338,1.21165338121449e-06
"226",226,19,"005","005_02","005_02_01","0019","frost",NA,"2000",NA,"article","10.3758/BF03214367","en","en","us","students","lab","course_credit",NA,0,0,0,0,48,48,48,"within",NA,NA,0.17,0.12,0.24,0.24,"proportion",0,"omit","omit","no misinformation",NA,"p.533, table 1. p.534. Standar deviations are pooled and were calculated from the SEM reported with the t-statistics.",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,168,0,0,"cued_recall","text",NA,4,4,6,"a 168 hour time delay between exposer and recall testing.","participants are presented with slides, misinformation through narrative, and then cued recall in text",0.17,0.12,0.24,0.24,NA,NA,19,0.206665924091917,0.0418891187717748,6.30651552244626e-06
"227",227,26,"009","009_01","009_01_01","0026","calvillo et al.",NA,"2016",NA,"article","10.1002/acp.3259","en","en","us","students","lab","course_credit","course credit toward the completion of a research requirement",0,0,0,0,177,59,59,"within",NA,NA,0.846,0.19,0.09,0.318,"proportion",1,"omit","omit","consistent","comparing groups depending on how much they have slept","Table 2, p. 1064, proportions were measured with a ruler","19.75",NA,NA,19.37,20.12,0.8644,NA,"no_manipulation",0,0,"visual","car_theft_and_grocery_store__slides_calvillo_et_al_2016",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,6,6,36,"immediate exposure to misinformation","The experiment was a 4 (retention interval)×3 (recognition item type) mixed-model design. Retention interval was manipulated between subjects and consisted of four levels: immediate, 12-hour wake, 12-hour sleep, and 24hours.",0.154,0.81,0.09,0.318,NA,NA,26,-2.78891718013271,0.0668561823628787,0.00216478120589804
"228",228,27,"009","009_01","009_01_02","0027","calvillo et al.",NA,"2016",NA,"article","10.1002/acp.3259","en","en","us","students","lab","course_credit","course credit toward the completion of a research requirement",0,0,0,0,177,36,36,"within",NA,NA,0.851,0.274,0.174,0.373,"proportion",1,"omit","omit","consistent","comparing groups depending on how much they have slept","Table 2, p. 1064, proportions were measured with a ruler","20.44",NA,NA,19.35,21.54,0.7777,NA,"no_manipulation",0,0,"visual","car_theft_and_grocery_store__slides_calvillo_et_al_2016",NA,0,0,12,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,6,6,36,"exposure to misinformation after being awake for 12 hours","The experiment was a 4 (retention interval)×3 (recognition item type) mixed-model design. Retention interval was manipulated between subjects and consisted of four levels: immediate, 12-hour wake, 12-hour sleep, and 24hours.",0.149,0.726,0.174,0.373,NA,NA,27,-1.96123551238467,0.082266977326658,0.000339426300296815
"229",229,28,"009","009_01","009_01_03","0028","calvillo et al.",NA,"2016",NA,"article","10.1002/acp.3259","en","en","us","students","lab","course_credit","course credit toward the completion of a research requirement",0,0,0,0,177,36,36,"within",NA,NA,0.797,0.357,0.199,0.423,"proportion",1,"omit","omit","consistent","comparing groups depending on how much they have slept","Table 2, p. 1064,proportions were measured with a ruler","20.56",NA,NA,19.78,21.32,0.6944,NA,"no_manipulation",0,0,"visual","car_theft_and_grocery_store__slides_calvillo_et_al_2016",NA,0,0,12,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,6,6,36,"exposure to misinformation after being asleep for 12 hours","The experiment was a 4 (retention interval)×3 (recognition item type) mixed-model design. Retention interval was manipulated between subjects and consisted of four levels: immediate, 12-hour wake, 12-hour sleep, and 24hours.",0.203,0.643,0.199,0.423,NA,NA,28,-1.31678293963839,0.0675966479869633,1.27234221414913e-05
"230",230,29,"009","009_01","009_01_04","0029","calvillo et al.",NA,"2016",NA,"article","10.1002/acp.3259","en","en","us","students","lab","course_credit","course credit toward the completion of a research requirement",0,0,0,0,177,46,46,"within",NA,NA,0.797,0.398,0.158,0.49,"proportion",1,"omit","omit","consistent","comparing groups depending on how much they have slept","Table 2, p. 1064, proportions were measured with a ruler","20.48",NA,NA,19.44,21.52,0.6956,NA,"no_manipulation",0,0,"visual","car_theft_and_grocery_store__slides_calvillo_et_al_2016",NA,0,0,24,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,6,6,36,"exposure to misinformation after 24 hours","The experiment was a 4 (retention interval)×3 (recognition item type) mixed-model design. Retention interval was manipulated between subjects and consisted of four levels: immediate, 12-hour wake, 12-hour sleep, and 24hours.",0.203,0.602,0.158,0.49,NA,NA,29,-1.0868418817428,0.0498979634560339,0.000181405750741782
"231",231,30,"010","010_01","010_01_01","0030","compo et al",NA,"2012",NA,"article","10.1037/h0093951","en","en","us","students","lab","course_credit","research credit",0,0,0,0,93,30,30,"within",NA,NA,0.244,0.193,0.131,0.131,"proportion",1,"omit","omit","consistent","comparing groups depending on alcohol / placebo / control","Table 2, p. 84","24",NA,4.6,NA,NA,NA,NA,"no_manipulation",0,1,"live","intruder_theft_staged_crime_compo_et_al_2012",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,0,0,"cued_recall","live",NA,12,12,24,"alcohol/placebo/control (alcohol)","The study used a 3 (intoxication level: alcohol vs. placebo vs. control) 2 (information type: misinformation vs. control) mixed design with information type manipulated within subjects. However, they used different formats of questions in the recall interviews without reporting the statistics between the conditions/items",0.756,0.807,0.131,0.131,NA,NA,30,-0.38425330253762,0.0678970883375922,7.17906665661954e-05
"232",232,31,"010","010_01","010_01_02","0031","compo et al",NA,"2012",NA,"article","10.1037/h0093951","en","en","us","students","lab","course_credit","research credit",0,0,0,0,93,38,38,"within",NA,NA,0.261,0.211,0.144,0.144,"proportion",1,"omit","omit","consistent","comparing groups depending on alcohol / placebo / control","Table 2, p. 84","24",NA,4.6,NA,NA,NA,NA,"no_manipulation",0,0,"live","intruder_theft_staged_crime_compo_et_al_2012",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,0,0,"cued_recall","live",NA,12,12,24,"alcohol/placebo/control (placebo)","The study used a 3 (intoxication level: alcohol vs. placebo vs. control) 2 (information type: misinformation vs. control) mixed design with information type manipulated within subjects. However, they used different formats of questions in the recall interviews without reporting the statistics between the conditions/items",0.739,0.789,0.144,0.144,NA,NA,31,-0.343689147671921,0.0534086988830753,4.99006722500863e-05
"233",233,32,"010","010_01","010_01_03","0032","compo et al",NA,"2012",NA,"article","10.1037/h0093951","en","en","us","students","lab","course_credit","research credit",0,0,0,0,93,25,25,"within",NA,NA,0.253,0.178,0.124,0.141,"proportion",1,"omit","omit","consistent","comparing groups depending on alcohol / placebo / control","Table 2, p. 84","24",NA,4.6,NA,NA,NA,NA,"no_manipulation",0,0,"live","intruder_theft_staged_crime_compo_et_al_2012",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,0,0,"cued_recall","live",NA,12,12,24,"alcohol/placebo/control (control)","The study used a 3 (intoxication level: alcohol vs. placebo vs. control) 2 (information type: misinformation vs. control) mixed design with information type manipulated within subjects. However, they used different formats of questions in the recall interviews without reporting the statistics between the conditions/items",0.747,0.822,0.124,0.141,NA,NA,32,-0.555996414409869,0.0830913201283663,0.000233184745471841
"234",234,34,"012","012_01","012_01_01","0034","zoladz et al",NA,"2017",NA,"article","10.1016/j.yhbeh.2017.04.003","en","en","us","students","lab","none",NA,0,0,0,0,84,31,31,"within",NA,NA,0.126,0.428,0.245,0.35,"proportion",1,"omit","omit","consistent","compared recall between confabulations and control items on responders to stress","Fig 3. p. 6. Probability of assents were gathered using a ruler",NA,NA,NA,NA,NA,0.4516,NA,"no_manipulation",0,0,"audiovisual","looking_for_miracles",NA,0,0,24,"live","interview",NA,"no_manipulation",0,72,1,0,"recognition","text",NA,9,4,22,"Stress. Responder (stressed) participants. Stressed participants were devided into cortisol “responders” and “non-responders” based on their cortisol response to the CPT. Specifically, stressed participants exhibiting a cortisol increase of at least 2.5 nmol/l following the CPT were considered responders (N =31; 17 males, 14 females); all other stressed participants were considered non-responders","Provided mean age for whole sample, but not for groups M=19.04,SD=1.07). Repeated testing. Yoked control items NOT CONSISTENT",0.874,0.572,0.245,0.35,NA,NA,34,0.987122383994268,0.0723742790401817,3.39141607276163e-05
"235",235,35,"012","012_01","012_01_02","0035","zoladz et al",NA,"2017",NA,"article","10.1016/j.yhbeh.2017.04.003","en","en","us","students","lab","none",NA,0,0,0,0,84,18,18,"within",NA,NA,0.082,0.1,0.136,0.212,"proportion",1,"omit","omit","consistent","compared recall between confabulations and control items on non-responders to stress","Fig 3. p. 6. Probability of assents were gathered using a ruler",NA,NA,NA,NA,NA,0.6666,NA,"no_manipulation",0,0,"audiovisual","looking_for_miracles",NA,0,0,24,"live","interview",NA,"no_manipulation",0,72,1,0,"recognition","text",NA,9,4,22,"Stress. Non-responder (stressed) participants. Stressed participants were devided into cortisol “responders” and “non-responders” based on their cortisol response to the CPT. Specifically, stressed participants exhibiting a cortisol increase of at least 2.5 nmol/l following the CPT were considered responders (N =31; 17 males, 14 females); all other stressed participants were considered non-responders","Provided mean age for whole sample, but not for groups M=19.04,SD=1.07). repeated testing,  Yoked control items NOT CONSISTENT",0.918,0.9,0.136,0.212,NA,NA,35,0.0988174904582456,0.111246734672506,0.000264270647871883
"236",236,36,"012","012_01","012_01_03","0036","zoladz et al",NA,"2017",NA,"article","10.1016/j.yhbeh.2017.04.003","en","en","us","students","lab","none",NA,0,0,0,0,84,35,35,"within",NA,NA,0.095,0.473,0.189,0.485,"proportion",1,"omit","omit","consistent","compared recall between confabulations and control items on responders to stress","Fig 3. p. 6. Probability of assents were gathered using a ruler",NA,NA,NA,NA,NA,0.4285,NA,"no_manipulation",0,0,"audiovisual","looking_for_miracles",NA,0,0,24,"live","interview",NA,"no_manipulation",0,72,1,0,"recognition","text",NA,9,4,22,"Stress. No stressed participants (control). Stressed participants were devided into cortisol “responders” and “non-responders” based on their cortisol response to the CPT. Specifically, stressed participants exhibiting a cortisol increase of at least 2.5 nmol/l following the CPT were considered responders (N =31; 17 males, 14 females); all other stressed participants were considered non-responders","Provided mean age for whole sample, but not for groups M=19.04,SD=1.07). repeated testing",0.905,0.527,0.189,0.485,NA,NA,36,1.01561224655199,0.0645104873953313,4.68916800543461e-05
"237",237,37,"013","013_01","013_01_01","0037","zhu et al",NA,"2013",NA,"article","10.3758/s13421-013-0300-2","en","zh","cn","students","lab",NA,NA,0,0,0,0,432,432,432,"within",NA,NA,0.6,0.32,0.17,0.18,"proportion",0,"omit","omit","consistent","compares the endorsement rate for misinformation and for original items","P. 835 ""The misinformation test""","20",NA,1,NA,NA,0.55,NA,"no_manipulation",0,0,"visual","car_break-in_and_stolen_wallet_slides_okado_stark_2005",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,12,12,50,NA,"examined false memories that were induced by two commonly used paradigms (misinformation and DRM) among a large sample of normal young adults",0.6,0.32,0.17,0.18,NA,NA,37,1.59795532381032,0.00610732709310981,0.000103796461856299
"238",238,43,"016","016_01","016_01_01","0043","campbell et al",NA,"2007",NA,"article","10.1348/000712606X160768","en","en","au","students","lab",NA,NA,0,0,0,0,60,15,15,"within",NA,NA,0.82,0.79,0.28,0.26,"proportion",0,"omit","omit","consistent","compared post-event information presented via an auditory or written modality (restated control condition)","Table 1, p.490","20.61",NA,7.23,NA,NA,0.66,NA,"no_manipulation",0,0,"visual","office_theft_video_campbell_et_al_2007",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,5,5,15,"auditory modality","compared post-event information presented via an auditory or written modality and used a recognition test or modified test",0.82,0.79,0.28,0.26,NA,NA,43,0.108029499424842,0.133527839545766,0.000201154952361089
"239",239,44,"016","016_01","016_01_02","0044","campbell et al",NA,"2007",NA,"article","10.1348/000712606X160768","en","en","au","students","lab",NA,NA,0,0,0,0,60,15,15,"within",NA,NA,0.91,0.56,0.15,0.33,"proportion",0,"omit","omit","consistent","compared post-event information presented via an auditory or written modality(restated control condition)","Table 1, p.490","20.61",NA,7.23,NA,NA,0.7,NA,"no_manipulation",0,0,"visual","office_theft_video_campbell_et_al_2007",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"recognition","text",NA,5,5,15,"written modality","compared post-event information presented via an auditory or written modality and used a recognition test or modified test",0.91,0.56,0.15,0.33,NA,NA,44,1.32851939371803,0.162749396324749,5.82212739387628e-05
"240",240,45,"016","016_01","016_01_03","0045","campbell et al",NA,"2007",NA,"article","10.1348/000712606X160768","en","en","au","students","lab",NA,NA,0,0,0,0,60,15,15,"within",NA,NA,0.93,0.74,0.18,0.27,"proportion",0,"omit","omit","consistent","compared post-event information presented via an auditory or written modality (restated control condition)","Table 1, p.490","20.61",NA,7.23,NA,NA,0.66,NA,"no_manipulation",0,0,"visual","office_theft_video_campbell_et_al_2007",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"modified_test","text",NA,5,5,15,"auditory modality","compared post-event information presented via an auditory or written modality and used a recognition test or modified test",0.93,0.74,0.18,0.27,NA,NA,45,0.805632452661242,0.144150727479683,2.4239492934678e-06
